"";"pareja";"actividad";"quien"
"823";1012;"lunch";"conjuntamente"
"824";1013;"seguro";"mujer"
"825";1014;"seguro";"mujer"
"826";1015;"platos";"conjuntamente"
"827";1016;"lunch";"mujer"
"828";1017;"conducir";"hombre"
"829";1018;"conducir";"alternativamente"
"830";1019;"seguro";"hombre"
"831";1022;"arreglos";"hombre"
"832";1023;"conducir";"alternativamente"
"833";1024;"finanzas";"conjuntamente"
"834";1025;"seguro";"hombre"
"835";1026;"seguro";"conjuntamente"
"836";1028;"arreglos";"hombre"
"837";1029;"seguro";"hombre"
"838";1033;"compras";"conjuntamente"
"839";1034;"arreglos";"alternativamente"
"840";1035;"finanzas";"mujer"
"841";1036;"conducir";"hombre"
"842";1038;"lunch";"mujer"
"843";1039;"compras";"conjuntamente"
"844";1042;"finanzas";"conjuntamente"
"845";1043;"ropa";"conjuntamente"
"846";1044;"compras";"conjuntamente"
"847";1045;"lunch";"mujer"
"848";1046;"cena";"mujer"
"849";1047;"lunch";"mujer"
"850";1048;"lunch";"conjuntamente"
"851";1049;"finanzas";"hombre"
"852";1050;"finanzas";"hombre"
"853";1052;"finanzas";"conjuntamente"
"854";1053;"ropa";"conjuntamente"
"855";1054;"seguro";"conjuntamente"
"856";1055;"lunch";"hombre"
"857";1056;"lunch";"alternativamente"
"858";1057;"finanzas";"conjuntamente"
"859";1058;"lunch";"alternativamente"
"860";1060;"seguro";"conjuntamente"
"861";1061;"ropa";"conjuntamente"
"862";1065;"seguro";"hombre"
"863";1066;"ropa";"mujer"
"864";1068;"seguro";"conjuntamente"
"865";1069;"arreglos";"hombre"
"866";1070;"arreglos";"hombre"
"867";1071;"ropa";"conjuntamente"
"868";1073;"platos";"conjuntamente"
"869";1074;"cena";"mujer"
"870";1077;"conducir";"hombre"
"871";1078;"lunch";"alternativamente"
"872";1079;"platos";"mujer"
"873";1080;"platos";"mujer"
"874";1081;"cena";"mujer"
"875";1082;"conducir";"alternativamente"
"876";1083;"lunch";"alternativamente"
"877";1084;"cena";"mujer"
"878";1085;"lunch";"alternativamente"
"879";1087;"arreglos";"hombre"
"880";1088;"platos";"hombre"
"881";1090;"ropa";"conjuntamente"
"882";1091;"finanzas";"conjuntamente"
"883";1092;"lunch";"alternativamente"
"884";1093;"lunch";"mujer"
"885";1095;"lunch";"mujer"
"886";1096;"seguro";"conjuntamente"
"887";1097;"arreglos";"hombre"
"888";1100;"seguro";"hombre"
"889";1101;"cena";"alternativamente"
"890";1102;"lunch";"hombre"
"891";1103;"lunch";"mujer"
"892";1104;"finanzas";"conjuntamente"
"893";1105;"ropa";"conjuntamente"
"894";1106;"arreglos";"hombre"
"895";1107;"arreglos";"hombre"
"896";1109;"ropa";"conjuntamente"
"897";1110;"arreglos";"hombre"
"898";1112;"cena";"mujer"
"899";1113;"seguro";"conjuntamente"
"900";1114;"platos";"mujer"
"901";1115;"cena";"alternativamente"
"902";1116;"lunch";"mujer"
"903";1118;"arreglos";"hombre"
"904";1119;"arreglos";"hombre"
"905";1120;"arreglos";"hombre"
"906";1121;"lunch";"alternativamente"
"907";1122;"ropa";"mujer"
"908";1123;"compras";"hombre"
"909";1124;"arreglos";"hombre"
"910";1125;"compras";"conjuntamente"
"911";1126;"lunch";"mujer"
"912";1127;"ropa";"conjuntamente"
"913";1128;"lunch";"mujer"
"914";1130;"lunch";"hombre"
"915";1131;"ropa";"conjuntamente"
"916";1132;"cena";"conjuntamente"
"917";1133;"conducir";"hombre"
"918";1134;"cena";"mujer"
"919";1135;"seguro";"conjuntamente"
"920";1136;"finanzas";"conjuntamente"
"921";1137;"arreglos";"hombre"
"922";1138;"compras";"conjuntamente"
"923";1139;"finanzas";"conjuntamente"
"924";1140;"platos";"conjuntamente"
"925";1142;"compras";"conjuntamente"
"926";1144;"platos";"conjuntamente"
"927";1145;"finanzas";"alternativamente"
"928";1147;"lunch";"mujer"
"929";1148;"cena";"mujer"
"930";1150;"ropa";"mujer"
"931";1151;"ropa";"conjuntamente"
"932";1152;"lunch";"alternativamente"
"933";1153;"seguro";"hombre"
"934";1154;"cena";"conjuntamente"
"935";1155;"arreglos";"hombre"
"936";1156;"arreglos";"hombre"
"937";1157;"conducir";"hombre"
"938";1158;"finanzas";"conjuntamente"
"939";1159;"finanzas";"mujer"
"940";1160;"arreglos";"hombre"
"941";1161;"lunch";"conjuntamente"
"942";1162;"arreglos";"hombre"
"943";1163;"conducir";"alternativamente"
"944";1164;"ropa";"conjuntamente"
"945";1165;"platos";"conjuntamente"
"946";1166;"lunch";"mujer"
"947";1167;"lunch";"mujer"
"948";1168;"conducir";"mujer"
"949";1169;"arreglos";"hombre"
"950";1171;"platos";"mujer"
"951";1172;"ropa";"mujer"
"952";1173;"lunch";"mujer"
"953";1174;"arreglos";"hombre"
"954";1175;"arreglos";"hombre"
"955";1176;"lunch";"alternativamente"
"956";1177;"conducir";"hombre"
"957";1178;"conducir";"alternativamente"
"958";1179;"cena";"mujer"
"959";1180;"cena";"mujer"
"960";1181;"platos";"mujer"
"961";1183;"lunch";"mujer"
"962";1184;"platos";"conjuntamente"
"963";1185;"compras";"mujer"
"964";1188;"seguro";"hombre"
"965";1189;"platos";"mujer"
"966";1190;"seguro";"conjuntamente"
"967";1191;"seguro";"conjuntamente"
"968";1192;"finanzas";"alternativamente"
"969";1193;"lunch";"mujer"
"970";1194;"arreglos";"hombre"
"971";1195;"conducir";"alternativamente"
"972";1197;"finanzas";"conjuntamente"
"973";1198;"lunch";"conjuntamente"
"974";1199;"arreglos";"alternativamente"
"975";1200;"conducir";"hombre"
"976";1201;"cena";"alternativamente"
"977";1202;"lunch";"alternativamente"
"978";1203;"arreglos";"hombre"
"979";1204;"arreglos";"hombre"
"980";1206;"finanzas";"conjuntamente"
"981";1207;"lunch";"mujer"
"982";1208;"platos";"hombre"
"983";1209;"cena";"mujer"
"984";1210;"seguro";"hombre"
"985";1211;"arreglos";"hombre"
"986";1214;"platos";"conjuntamente"
"987";1215;"lunch";"mujer"
"988";1216;"conducir";"hombre"
"989";1217;"conducir";"alternativamente"
"990";1218;"ropa";"mujer"
"991";1219;"lunch";"mujer"
"992";1220;"platos";"mujer"
"993";1222;"ropa";"mujer"
"994";1223;"compras";"conjuntamente"
"995";1224;"cena";"alternativamente"
"996";1226;"compras";"mujer"
"997";1227;"ropa";"mujer"
"998";1228;"lunch";"mujer"
"999";1229;"conducir";"hombre"
"1000";1230;"lunch";"mujer"
"1001";1231;"arreglos";"hombre"
"1002";1232;"conducir";"alternativamente"
"1003";1233;"arreglos";"hombre"
"1004";1234;"lunch";"hombre"
"1005";1235;"cena";"hombre"
"1006";1236;"arreglos";"hombre"
"1007";1237;"conducir";"hombre"
"1008";1238;"ropa";"mujer"
"1009";1239;"conducir";"alternativamente"
"1010";1240;"arreglos";"hombre"
"1011";1242;"ropa";"conjuntamente"
"1012";1243;"cena";"mujer"
"1013";1246;"lunch";"mujer"
"1014";1247;"lunch";"mujer"
"1015";1248;"lunch";"mujer"
"1016";1249;"seguro";"hombre"
"1017";1250;"finanzas";"mujer"
"1018";1251;"cena";"conjuntamente"
"1019";1252;"arreglos";"hombre"
"1020";1253;"ropa";"conjuntamente"
"1021";1254;"arreglos";"hombre"
"1022";1255;"seguro";"hombre"
"1023";1257;"cena";"mujer"
"1024";1258;"cena";"mujer"
"1025";1259;"cena";"mujer"
"1026";1260;"lunch";"mujer"
"1027";1261;"platos";"conjuntamente"
"1028";1262;"conducir";"hombre"
"1029";1263;"ropa";"hombre"
"1030";1264;"lunch";"conjuntamente"
"1031";1265;"seguro";"conjuntamente"
"1032";1266;"compras";"conjuntamente"
"1033";1267;"conducir";"alternativamente"
"1034";1268;"finanzas";"conjuntamente"
"1035";1269;"seguro";"conjuntamente"
"1036";1270;"lunch";"mujer"
"1037";1272;"compras";"conjuntamente"
"1038";1273;"seguro";"conjuntamente"
"1039";1274;"ropa";"mujer"
"1040";1275;"finanzas";"conjuntamente"
"1041";1276;"cena";"mujer"
"1042";1277;"lunch";"mujer"
"1043";1278;"arreglos";"hombre"
"1044";1279;"conducir";"hombre"
"1045";1280;"conducir";"mujer"
"1046";1282;"lunch";"mujer"
"1047";1283;"cena";"conjuntamente"
"1048";1284;"lunch";"alternativamente"
"1049";1285;"arreglos";"hombre"
"1050";1286;"ropa";"conjuntamente"
"1051";1287;"finanzas";"conjuntamente"
"1052";1288;"arreglos";"hombre"
"1053";1289;"lunch";"mujer"
"1054";1290;"seguro";"conjuntamente"
"1055";1291;"seguro";"hombre"
"1056";1292;"arreglos";"hombre"
"1057";1294;"compras";"hombre"
"1058";1295;"arreglos";"hombre"
"1059";1296;"lunch";"mujer"
"1060";1298;"lunch";"alternativamente"
"1061";1299;"platos";"mujer"
"1062";1300;"seguro";"hombre"
"1063";1301;"arreglos";"hombre"
"1064";1302;"ropa";"mujer"
"1065";1303;"finanzas";"hombre"
"1066";1304;"ropa";"conjuntamente"
"1067";1305;"compras";"hombre"
"1068";1306;"ropa";"alternativamente"
"1069";1307;"lunch";"mujer"
"1070";1308;"cena";"mujer"
"1071";1309;"seguro";"conjuntamente"
"1072";1310;"lunch";"mujer"
"1073";1311;"compras";"conjuntamente"
"1074";1312;"lunch";"mujer"
"1075";1314;"compras";"mujer"
"1076";1315;"conducir";"hombre"
"1077";1316;"lunch";"mujer"
"1078";1317;"seguro";"hombre"
"1079";1319;"cena";"mujer"
"1080";1320;"conducir";"alternativamente"
"1081";1321;"platos";"hombre"
"1082";1323;"cena";"hombre"
"1083";1325;"ropa";"alternativamente"
"1084";1327;"finanzas";"hombre"
"1085";1328;"finanzas";"hombre"
"1086";1329;"ropa";"mujer"
"1087";1332;"seguro";"conjuntamente"
"1088";1333;"lunch";"mujer"
"1089";1334;"lunch";"alternativamente"
"1090";1335;"conducir";"alternativamente"
"1091";1336;"finanzas";"hombre"
"1092";1337;"compras";"conjuntamente"
"1093";1338;"lunch";"mujer"
"1094";1339;"arreglos";"hombre"
"1095";1340;"lunch";"mujer"
"1096";1341;"ropa";"conjuntamente"
"1097";1342;"ropa";"conjuntamente"
"1098";1345;"ropa";"conjuntamente"
"1099";1346;"arreglos";"hombre"
"1100";1348;"seguro";"conjuntamente"
"1101";1349;"lunch";"mujer"
"1102";1350;"lunch";"alternativamente"
"1103";1351;"seguro";"conjuntamente"
"1104";1352;"arreglos";"hombre"
"1105";1353;"lunch";"mujer"
"1106";1354;"lunch";"alternativamente"
"1107";1355;"seguro";"conjuntamente"
"1108";1356;"arreglos";"hombre"
"1109";1357;"seguro";"hombre"
"1110";1358;"finanzas";"alternativamente"
"1111";1359;"compras";"mujer"
"1112";1360;"finanzas";"conjuntamente"
"1113";1361;"lunch";"alternativamente"
"1114";1362;"lunch";"mujer"
"1115";1364;"finanzas";"conjuntamente"
"1116";1365;"compras";"conjuntamente"
"1117";1366;"arreglos";"hombre"
"1118";1367;"conducir";"hombre"
"1119";1368;"seguro";"conjuntamente"
"1120";1369;"lunch";"mujer"
"1121";1371;"ropa";"conjuntamente"
"1122";1372;"lunch";"conjuntamente"
"1123";1373;"arreglos";"hombre"
"1124";1374;"conducir";"alternativamente"
"1125";1375;"arreglos";"hombre"
"1126";1376;"cena";"mujer"
"1127";1377;"arreglos";"hombre"
"1128";1378;"finanzas";"hombre"
"1129";1379;"conducir";"alternativamente"
"1130";1380;"conducir";"hombre"
"1131";1381;"arreglos";"hombre"
"1132";1382;"compras";"conjuntamente"
"1133";1383;"lunch";"mujer"
"1134";1384;"lunch";"hombre"
"1135";1386;"ropa";"conjuntamente"
"1136";1387;"lunch";"mujer"
"1137";1388;"lunch";"mujer"
"1138";1390;"seguro";"conjuntamente"
"1139";1391;"arreglos";"hombre"
"1140";1392;"arreglos";"hombre"
"1141";1393;"arreglos";"hombre"
"1142";1394;"compras";"mujer"
"1143";1395;"conducir";"alternativamente"
"1144";1396;"finanzas";"alternativamente"
"1145";1397;"ropa";"conjuntamente"
"1146";1398;"cena";"hombre"
"1147";1399;"lunch";"mujer"
"1148";1400;"lunch";"alternativamente"
"1149";1401;"finanzas";"hombre"
"1150";1402;"ropa";"conjuntamente"
"1151";1403;"compras";"mujer"
"1152";1404;"finanzas";"mujer"
"1153";1405;"compras";"conjuntamente"
"1154";1406;"lunch";"mujer"
"1155";1409;"platos";"mujer"
"1156";1410;"ropa";"conjuntamente"
"1157";1411;"lunch";"alternativamente"
"1158";1412;"finanzas";"hombre"
"1159";1413;"compras";"mujer"
"1160";1414;"cena";"mujer"
"1161";1415;"arreglos";"hombre"
"1162";1416;"arreglos";"hombre"
"1163";1417;"compras";"conjuntamente"
"1164";1418;"compras";"conjuntamente"
"1165";1420;"cena";"hombre"
"1166";1421;"finanzas";"conjuntamente"
"1167";1422;"ropa";"mujer"
"1168";1423;"lunch";"hombre"
"1169";1424;"arreglos";"hombre"
"1170";1425;"seguro";"hombre"
"1171";1426;"arreglos";"hombre"
"1172";1427;"lunch";"mujer"
"1173";1429;"cena";"mujer"
"1174";1430;"seguro";"hombre"
"1175";1431;"finanzas";"hombre"
"1176";1434;"lunch";"mujer"
"1177";1435;"platos";"conjuntamente"
"1178";1436;"lunch";"mujer"
"1179";1438;"arreglos";"hombre"
"1180";1439;"lunch";"hombre"
"1181";1440;"cena";"hombre"
"1182";1441;"ropa";"mujer"
"1183";1442;"ropa";"conjuntamente"
"1184";1446;"conducir";"alternativamente"
"1185";1447;"conducir";"alternativamente"
"1186";1448;"conducir";"hombre"
"1187";1449;"conducir";"conjuntamente"
"1188";1450;"compras";"conjuntamente"
"1189";1451;"arreglos";"hombre"
"1190";1452;"compras";"conjuntamente"
"1191";1453;"arreglos";"conjuntamente"
"1192";1455;"finanzas";"alternativamente"
"1193";1457;"lunch";"mujer"
"1194";1458;"arreglos";"hombre"
"1195";1460;"seguro";"conjuntamente"
"1196";1461;"conducir";"mujer"
"1197";1462;"ropa";"conjuntamente"
"1198";1463;"conducir";"alternativamente"
"1199";1464;"compras";"conjuntamente"
"1200";1465;"conducir";"mujer"
"1201";1466;"arreglos";"hombre"
"1202";1467;"lunch";"mujer"
"1203";1469;"lunch";"mujer"
"1204";1470;"platos";"conjuntamente"
"1205";1471;"platos";"conjuntamente"
"1206";1472;"lunch";"alternativamente"
"1207";1473;"lunch";"mujer"
"1208";1474;"ropa";"mujer"
"1209";1475;"arreglos";"hombre"
"1210";1476;"conducir";"hombre"
"1211";1477;"lunch";"conjuntamente"
"1212";1478;"conducir";"alternativamente"
"1213";1479;"finanzas";"conjuntamente"
"1214";1480;"arreglos";"hombre"
"1215";1481;"lunch";"mujer"
"1216";1482;"arreglos";"hombre"
"1217";1483;"finanzas";"conjuntamente"
"1218";1484;"finanzas";"hombre"
"1219";1485;"ropa";"mujer"
"1220";1486;"seguro";"conjuntamente"
"1221";1487;"arreglos";"hombre"
"1222";1488;"seguro";"hombre"
"1223";1489;"platos";"mujer"
"1224";1490;"ropa";"mujer"
"1225";1491;"finanzas";"conjuntamente"
"1226";1492;"conducir";"hombre"
"1227";1494;"finanzas";"conjuntamente"
"1228";1496;"arreglos";"hombre"
"1229";1497;"compras";"conjuntamente"
"1230";1498;"lunch";"mujer"
"1231";1500;"compras";"conjuntamente"
"1232";1501;"arreglos";"hombre"
"1233";1503;"ropa";"conjuntamente"
"1234";1505;"conducir";"alternativamente"
"1235";1506;"ropa";"conjuntamente"
"1236";1507;"lunch";"mujer"
"1237";1508;"ropa";"mujer"
"1238";1510;"cena";"mujer"
"1239";1511;"seguro";"hombre"
"1240";1512;"lunch";"mujer"
"1241";1513;"finanzas";"conjuntamente"
"1242";1514;"conducir";"alternativamente"
"1243";1515;"lunch";"alternativamente"
"1244";1516;"conducir";"alternativamente"
"1245";1517;"lunch";"mujer"
"1246";1518;"compras";"conjuntamente"
"1247";1519;"finanzas";"conjuntamente"
"1248";1520;"seguro";"conjuntamente"
"1249";1521;"finanzas";"conjuntamente"
"1250";1522;"platos";"conjuntamente"
"1251";1523;"lunch";"mujer"
"1252";1524;"seguro";"conjuntamente"
"1253";1525;"platos";"conjuntamente"
"1254";1526;"ropa";"conjuntamente"
"1255";1527;"seguro";"conjuntamente"
"1256";1528;"lunch";"mujer"
"1257";1529;"lunch";"mujer"
"1258";1530;"ropa";"conjuntamente"
"1259";1531;"ropa";"conjuntamente"
