genero;pais;fumador;edad;avion;tormenta;obscuridad;altura;arana;serpiente;rata;envejecer;perros;publico;autoestima;miedo
masculino;GB;si;23;1;3;5;5;2;5;4;1;2;3;65;62
masculino;EU;si;18;2;2;2;3;2;3;1;1;2;2;65;40
masculino;CA;si;20;3;3;3;3;3;3;3;2;4;5;80;64
masculino;AU;si;19;3;4;3;2;3;5;4;2;4;4;75;68
femenino;CA;si;19;1;1;1;3;1;1;1;2;1;1;75;26
masculino;US;si;20;4;4;5;5;5;2;4;5;4;2;72,5;80
femenino;US;no;21;1;1;1;2;1;3;1;1;1;3;60;30
masculino;US;si;18;2;2;1;2;4;4;1;1;1;2;72,5;40
masculino;CA;si;22;5;3;2;5;2;4;5;3;4;3;62,5;72
femenino;FR;no;22;1;2;2;3;3;5;4;1;5;1;75;54
femenino;GB;no;20;2;2;1;4;1;2;2;1;4;1;70;40
femenino;CA;si;26;1;1;1;1;2;2;2;2;4;2;70;36
femenino;US;si;19;1;2;3;4;1;1;1;1;2;1;72,5;34
femenino;US;no;26;1;1;1;4;1;3;5;1;5;3;70;50
masculino;FI;si;24;4;1;1;1;1;1;2;1;2;4;67,5;36
masculino;US;no;19;1;1;1;2;2;2;2;3;3;2;65;38
masculino;US;si;25;1;2;2;5;3;4;3;2;4;2;65;56
masculino;IN;si;24;4;5;4;3;1;5;3;3;5;4;67,5;74
femenino;DE;si;25;1;1;1;2;4;4;5;3;5;2;65;56
masculino;NZ;no;25;5;3;5;1;3;5;5;4;5;2;75;76
masculino;US;si;25;2;3;5;5;5;3;1;1;1;1;65;54
masculino;PL;si;19;1;1;1;1;1;1;1;1;1;1;72,5;20
masculino;US;no;25;4;3;4;3;5;5;3;2;2;1;70;64
femenino;GB;no;18;1;1;1;5;1;1;5;1;3;1;67,5;40
masculino;GB;no;20;2;1;2;2;3;3;2;3;3;3;60;48
masculino;US;no;18;1;2;3;4;4;4;4;1;4;1;65;56
femenino;US;no;25;1;5;5;3;5;5;5;5;5;2;65;82
femenino;US;si;25;3;3;4;1;3;4;1;1;4;1;67,5;50
masculino;US;si;22;1;1;2;4;4;2;3;5;2;3;65;54
masculino;US;no;18;3;4;3;4;5;5;5;2;4;3;75;76
femenino;US;no;23;1;2;2;2;1;2;1;1;2;1;65;30
masculino;NZ;no;22;1;5;5;5;3;5;3;1;5;3;67,5;72
masculino;GB;si;22;3;2;2;2;2;3;2;1;2;1;60;40
masculino;GH;si;23;1;3;3;3;5;5;5;2;4;4;67,5;70
masculino;DE;no;24;4;4;2;4;2;5;3;5;5;1;75;70
femenino;MY;no;24;;2;4;2;5;5;3;1;5;5;72,5;64
masculino;US;no;23;3;3;3;5;5;5;5;1;5;3;62,5;76
femenino;GB;si;20;2;2;4;3;5;2;1;1;3;2;65;50
masculino;BR;no;25;1;1;1;5;5;3;3;1;3;2;70;50
femenino;US;no;22;3;3;5;3;4;4;5;3;4;3;65;74
femenino;HR;si;19;2;3;1;4;2;4;3;4;5;2;65;60
femenino;US;si;21;2;2;2;2;3;2;2;2;2;2;50;42
masculino;KY;si;18;3;2;1;4;3;4;4;3;4;4;60;64
femenino;MY;no;26;1;1;2;5;2;2;2;3;3;4;62,5;50
masculino;CA;si;18;2;1;3;2;1;4;5;5;5;3;57,5;62
femenino;MY;no;20;2;1;1;2;3;5;2;2;3;2;70;46
femenino;US;no;20;2;4;5;5;5;2;1;2;5;2;60;66
masculino;US;si;19;1;1;2;1;3;3;2;5;3;2;70;46
femenino;US;no;21;2;4;4;4;5;4;4;3;4;3;60;74
femenino;US;si;24;4;1;1;2;5;5;4;1;3;3;62,5;58
femenino;US;no;22;1;1;2;4;1;1;1;4;1;3;77,5;38
femenino;JP;si;21;1;2;4;4;5;5;4;4;4;5;70;76
femenino;DE;si;24;1;1;1;1;1;3;3;2;2;4;70;38
femenino;SG;si;23;2;1;2;2;2;4;3;3;3;2;72,5;48
masculino;AU;no;26;1;2;4;1;1;3;3;2;4;2;62,5;46
masculino;DE;no;18;1;2;2;3;2;2;1;4;2;2;62,5;42
masculino;BA;si;24;1;2;2;3;5;5;5;1;3;2;57,5;58
masculino;US;si;19;2;1;2;4;4;4;3;1;3;4;70;56
femenino;NZ;no;22;5;3;3;5;4;5;4;1;4;3;57,5;74
femenino;US;si;22;1;3;2;3;3;3;2;3;5;2;67,5;54
femenino;GB;no;18;1;1;2;4;4;4;1;3;2;3;70;50
femenino;IE;no;26;1;2;1;3;1;3;3;1;5;3;67,5;46
femenino;US;si;24;1;1;2;2;2;3;2;2;3;2;72,5;40
masculino;US;si;18;1;4;5;1;5;5;5;5;3;4;75;76
masculino;CH;no;25;1;1;2;4;4;4;1;3;3;3;67,5;52
masculino;FR;no;21;1;3;3;3;5;2;3;4;5;1;75;60
femenino;TR;si;26;3;5;5;4;4;5;5;2;5;5;65;86
masculino;IN;no;24;2;1;1;2;1;1;1;1;3;4;72,5;34
femenino;CA;no;19;1;1;1;3;2;2;2;2;2;4;65;40
femenino;GB;si;26;5;5;1;1;1;1;1;1;1;1;62,5;36
femenino;US;no;20;2;2;2;2;2;2;2;2;3;3;67,5;44
femenino;US;si;25;1;1;1;1;1;1;1;5;2;1;67,5;30
masculino;AZ;si;25;2;2;2;2;1;2;2;2;2;2;62,5;38
masculino;US;no;18;3;2;3;4;3;4;5;5;5;3;55;74
masculino;IN;si;25;4;4;4;4;2;5;1;3;5;5;70;74
masculino;CA;si;23;1;2;3;5;4;4;5;3;5;1;67,5;66
masculino;US;si;24;2;2;1;1;1;3;1;3;1;2;72,5;34
masculino;NO;si;18;1;1;1;1;3;5;1;1;3;3;70;40
femenino;US;no;21;2;2;3;4;5;5;5;4;5;5;72,5;80
femenino;RO;no;25;2;2;1;1;2;3;2;3;3;4;67,5;46
femenino;US;si;20;2;2;2;2;1;1;1;4;1;3;62,5;38
masculino;US;si;19;3;1;5;2;1;3;3;3;4;4;70;58
femenino;TT;no;19;1;1;2;2;3;1;1;3;2;1;60;34
femenino;HK;si;19;3;4;2;4;1;1;1;4;1;5;65;52
femenino;US;si;19;1;1;1;1;2;2;1;1;2;4;60;32
femenino;US;no;25;1;3;4;4;3;5;5;2;3;5;65;70
masculino;IN;no;20;2;3;5;1;1;4;3;1;2;3;70;50
femenino;GB;si;22;2;5;2;5;2;2;2;2;2;3;62,5;54
femenino;IN;no;20;1;1;1;3;2;2;1;3;2;1;65;34
masculino;IN;no;22;5;1;3;4;2;2;2;2;4;4;82,5;58
masculino;US;si;24;1;2;2;1;3;3;3;3;3;2;67,5;46
masculino;DE;no;26;2;2;4;1;2;3;1;1;2;4;67,5;44
femenino;US;no;18;1;1;1;1;1;1;1;3;3;2;60;30
masculino;GB;no;23;2;1;2;4;2;2;2;1;2;4;62,5;44
femenino;US;no;23;1;1;3;1;4;3;1;4;5;3;75;52
femenino;US;no;25;1;3;1;2;5;5;1;5;5;5;52,5;66
femenino;HK;si;24;1;1;2;1;5;1;1;5;2;3;65;44
masculino;US;si;22;3;4;3;4;5;4;3;4;5;2;65;74
masculino;PH;no;19;1;1;5;1;3;5;5;1;3;1;75;52
femenino;CA;no;23;1;2;1;2;1;1;1;1;1;2;75;26
femenino;IN;no;23;1;1;1;4;5;4;2;5;5;1;60;58
masculino;US;si;22;2;1;1;2;5;5;5;5;5;4;75;70
masculino;US;no;23;2;5;3;2;5;1;1;1;4;3;72,5;54
masculino;GB;no;19;2;1;2;3;4;3;2;2;2;3;67,5;48
femenino;US;si;19;2;1;1;4;2;3;3;2;2;3;67,5;46
masculino;BR;si;21;2;2;1;2;1;2;2;3;3;1;72,5;38
masculino;CA;no;24;1;2;3;2;4;4;3;5;2;4;60;60
masculino;US;no;22;3;2;2;2;5;3;3;2;3;3;62,5;56
masculino;AU;no;21;1;1;1;1;1;2;4;1;4;3;67,5;38
masculino;EU;no;26;4;1;1;4;1;4;3;3;4;3;65;56
masculino;NL;si;26;3;1;1;3;1;1;1;1;4;2;60;36
masculino;GB;no;25;1;3;2;3;2;4;4;2;3;3;87,5;54
masculino;MY;si;26;1;2;2;2;5;4;5;3;5;5;70;68
femenino;HK;no;25;2;1;1;2;3;3;1;2;3;2;65;40
masculino;US;si;18;2;1;2;1;4;5;4;3;5;4;72,5;62
femenino;US;si;24;5;3;1;1;1;1;1;1;1;4;60;38
masculino;IN;si;25;3;2;2;3;1;5;2;2;4;3;70;54
masculino;US;no;21;1;1;1;1;2;1;2;1;1;2;72,5;26
femenino;US;si;22;3;2;2;2;5;3;2;1;5;2;67,5;54
masculino;US;si;18;3;2;2;4;4;4;1;1;4;3;67,5;56
femenino;PH;no;19;2;2;1;1;1;4;4;5;4;1;0;50
masculino;IN;si;21;1;3;1;1;1;2;1;5;2;1;67,5;36
femenino;US;no;18;2;1;2;1;2;1;2;2;4;2;60;38
femenino;US;si;23;5;5;1;3;5;5;5;1;5;1;65;72
masculino;US;si;26;1;1;1;1;1;1;1;2;2;3;57,5;28
femenino;US;si;18;2;3;3;3;4;4;4;3;5;1;70;64
femenino;US;no;21;1;1;3;1;2;1;1;1;3;3;70;34
femenino;US;si;23;5;5;5;5;5;1;1;5;1;3;70;72
masculino;LT;si;26;3;2;1;3;1;3;4;4;5;4;62,5;60
femenino;NL;no;24;2;1;5;2;2;1;1;3;2;3;62,5;44
femenino;GB;si;19;1;1;1;2;1;3;1;5;2;4;67,5;42
femenino;NL;no;23;4;2;5;2;5;5;4;3;4;1;65;70
femenino;US;si;24;3;4;5;1;1;1;3;2;4;5;55;58
femenino;US;si;24;1;1;1;3;2;3;1;3;1;2;62,5;36
femenino;US;si;21;1;1;1;2;1;1;1;3;3;4;62,5;36
masculino;US;si;24;1;2;3;2;2;1;1;3;2;5;72,5;44
femenino;US;si;25;4;2;2;3;1;1;1;3;3;2;65;44
femenino;US;no;26;1;1;1;2;1;2;2;4;3;2;62,5;38
femenino;US;no;20;1;1;1;2;3;3;3;2;3;3;65;44
femenino;US;si;19;1;2;1;3;1;3;1;1;4;3;65;40
femenino;US;no;23;1;1;2;2;1;1;1;3;1;3;67,5;32
masculino;CA;si;26;1;2;3;3;3;1;2;2;4;2;65;46
masculino;US;si;25;1;1;1;3;2;5;1;1;1;2;67,5;36
femenino;US;si;20;4;1;1;2;2;2;1;4;1;1;57,5;38
femenino;US;si;20;1;1;1;2;1;1;1;2;2;1;72,5;26
masculino;IN;no;18;3;2;2;4;5;5;5;3;5;4;60;76
femenino;US;no;19;1;1;3;1;1;3;1;1;1;1;72,5;28
femenino;US;si;22;1;2;5;1;5;3;3;5;1;1;62,5;54
masculino;US;no;25;3;1;3;2;2;3;1;5;3;3;67,5;52
masculino;US;no;22;4;3;3;3;5;5;5;2;5;2;60;74
femenino;IN;si;25;1;2;2;4;4;5;5;4;4;1;62,5;64
femenino;US;no;24;3;3;3;3;3;5;;4;3;3;70;60
femenino;US;no;25;1;2;1;1;3;4;3;1;2;2;62,5;40
femenino;GB;no;24;2;2;4;5;4;4;4;2;3;4;60;68
femenino;ZA;no;20;4;3;2;4;4;5;3;1;4;1;70;62
femenino;AU;si;18;1;1;1;4;1;1;2;4;5;3;70;46
masculino;GB;si;22;5;3;1;3;3;3;3;3;5;3;60;64
femenino;CA;si;18;1;1;1;1;1;2;1;2;5;1;62,5;32
femenino;US;no;25;1;1;2;3;1;1;1;1;4;1;65;32
femenino;US;si;22;3;2;3;4;1;5;2;1;3;3;65;54
femenino;US;si;18;3;3;5;2;2;5;5;5;1;1;67,5;64
femenino;US;no;26;1;1;4;3;5;4;4;1;4;4;72,5;62
masculino;NL;si;18;4;3;5;4;5;4;3;2;5;4;75;78
femenino;US;no;22;2;2;1;2;5;5;5;3;3;1;67,5;58
femenino;US;no;20;1;4;4;3;5;4;4;5;4;3;60;74
femenino;US;si;18;3;2;2;3;2;3;2;2;3;3;75;50
femenino;US;no;21;1;4;4;5;1;5;1;3;5;5;65;68
femenino;US;no;18;2;1;1;2;5;5;5;4;5;4;57,5;68
masculino;US;si;25;1;3;5;5;5;5;4;5;4;5;70;84
masculino;US;no;25;2;2;2;3;5;5;5;2;3;2;80;62
femenino;US;no;21;1;3;3;2;1;5;3;5;4;3;65;60
femenino;US;si;22;4;5;5;5;1;5;5;5;5;4;60;88
femenino;US;no;19;3;1;2;2;2;1;1;3;2;3;60;40
femenino;US;no;23;3;3;1;1;1;3;1;1;3;3;60;40
femenino;US;si;20;1;2;1;4;4;4;4;4;1;1;62,5;52
femenino;US;no;23;1;1;1;1;5;5;5;1;2;1;65;46
femenino;US;no;21;1;1;3;3;5;4;4;3;3;4;62,5;62
femenino;US;si;19;2;1;2;4;3;5;2;1;2;5;55;54
femenino;HK;si;25;2;2;2;3;1;3;2;4;4;2;65;50
masculino;US;si;24;2;5;3;3;3;5;4;4;5;3;60;74
femenino;US;no;22;4;2;3;1;2;3;2;1;3;2;55;46
masculino;GB;si;19;1;1;1;4;1;5;4;5;4;1;65;54
femenino;US;si;24;2;3;4;4;3;1;1;1;5;4;62,5;56
femenino;US;no;24;1;1;1;2;2;1;1;3;2;3;72,5;34
femenino;US;si;23;1;1;1;3;5;5;5;1;1;3;65;52
femenino;CA;si;24;1;1;1;1;1;1;1;1;1;2;55;22
masculino;US;no;19;2;2;2;2;2;3;3;4;4;2;67,5;52
masculino;US;no;25;1;1;1;2;4;1;1;1;1;2;67,5;30
masculino;AT;no;21;3;3;4;3;5;5;5;2;5;2;60;74
femenino;US;no;24;3;3;1;1;4;5;2;4;5;4;67,5;64
femenino;GB;si;22;4;2;2;4;2;4;1;2;3;4;80;56
femenino;US;no;23;1;1;1;1;1;2;1;1;1;1;62,5;22
femenino;US;no;23;2;2;3;3;5;5;3;4;5;4;57,5;72
femenino;US;si;21;2;2;2;2;4;4;2;3;3;2;60;52
femenino;NL;si;23;2;1;4;2;1;1;1;1;2;2;70;34
femenino;US;no;24;3;1;1;3;3;3;3;3;3;4;77,5;54
femenino;US;si;26;5;4;3;3;3;5;3;4;5;3;60;76
femenino;US;si;20;1;3;1;5;3;1;1;3;5;2;65;50
femenino;US;si;21;2;3;3;1;3;3;1;1;2;2;60;42
femenino;US;si;25;1;2;2;1;5;5;4;2;5;3;67,5;60
masculino;US;no;21;1;5;3;1;5;1;1;2;1;1;62,5;42
masculino;GB;si;24;2;2;1;2;1;1;1;3;4;2;72,5;38
femenino;US;no;18;5;1;5;1;1;4;2;3;3;3;70;56
femenino;US;si;24;1;1;2;5;1;5;5;3;3;2;55;56
femenino;US;no;22;2;2;2;3;2;1;1;1;2;2;65;36
femenino;US;si;19;3;2;2;2;1;3;2;5;5;1;75;52
masculino;GB;no;20;2;1;1;5;1;1;1;1;3;5;65;42
femenino;GB;no;19;1;1;1;1;1;1;1;2;2;4;65;30
femenino;CH;no;22;3;1;2;2;1;4;4;3;4;5;67,5;58
femenino;US;si;25;1;1;2;4;4;3;2;5;3;4;65;58
masculino;US;no;20;3;1;2;4;2;2;2;3;3;3;65;50
femenino;US;si;22;3;3;4;2;5;3;1;1;3;2;75;54
femenino;US;no;18;3;4;4;3;3;5;4;2;5;2;62,5;70
femenino;US;no;26;1;1;1;2;3;2;2;1;2;1;65;32
femenino;US;si;19;2;3;4;4;3;4;4;4;2;2;70;64
femenino;CA;si;23;2;3;5;4;5;5;3;3;5;5;72,5;80
femenino;US;si;26;1;1;1;1;5;5;1;3;2;4;67,5;48
femenino;US;si;25;4;1;2;2;1;1;1;2;3;2;67,5;38
femenino;US;no;21;3;2;3;3;2;2;1;1;4;2;57,5;46
femenino;US;si;24;3;4;2;4;2;5;2;4;2;3;62,5;62
femenino;US;si;23;3;1;1;1;1;1;1;1;2;1;65;26
masculino;BR;si;24;3;1;2;3;5;2;2;4;3;4;62,5;58
masculino;US;si;23;1;4;4;3;4;4;3;2;3;3;67,5;62
femenino;US;no;21;1;3;3;3;3;3;3;3;3;1;75;52
masculino;GB;no;20;4;2;4;4;5;5;4;3;2;4;67,5;74
femenino;GB;si;25;5;3;1;5;1;5;1;5;1;1;65;56
masculino;US;no;20;2;1;1;2;1;1;1;1;3;1;75;28
femenino;US;no;20;1;1;1;1;1;1;1;1;1;1;75;20
femenino;AU;no;20;3;1;1;4;1;1;3;2;3;1;77,5;40
femenino;US;si;26;1;1;1;1;3;1;1;1;1;3;65;28
masculino;IN;no;21;1;1;2;2;3;5;2;4;3;1;100;48
masculino;US;si;21;1;1;1;1;3;3;1;2;2;4;67,5;38
femenino;AU;si;22;4;1;1;3;5;1;2;5;4;5;60;62
femenino;GB;no;19;5;2;3;2;2;4;1;4;1;1;75;50
masculino;IN;si;25;1;1;2;4;1;5;2;2;4;2;65;48
masculino;IN;no;19;3;1;4;1;5;2;1;2;1;4;62,5;48
femenino;US;si;21;1;3;3;3;5;5;5;1;4;1;70;62
femenino;US;si;18;3;4;4;5;2;2;4;3;2;3;62,5;64
femenino;US;no;21;4;4;3;3;3;4;4;5;5;5;65;80
masculino;CA;si;22;1;1;1;1;1;1;1;3;1;4;72,5;30
femenino;US;si;26;1;3;2;1;3;5;2;1;2;2;50;44
femenino;US;si;23;3;3;3;5;5;4;4;1;5;5;42,5;76
masculino;US;no;24;3;1;1;2;4;2;2;3;5;1;62,5;48
masculino;IN;no;25;1;1;2;2;1;1;1;4;3;4;67,5;40
femenino;US;si;20;1;1;1;4;1;3;1;1;3;1;72,5;34
femenino;GB;si;19;1;1;2;1;4;3;2;2;3;2;65;42
masculino;AU;si;26;2;2;2;3;3;3;3;4;4;4;67,5;60
femenino;US;no;25;2;3;3;3;3;1;1;3;1;1;67,5;42
masculino;US;no;18;1;1;2;2;1;3;2;3;4;1;67,5;40
masculino;US;no;23;2;1;2;5;3;3;2;4;4;3;72,5;58
masculino;US;si;18;3;1;2;5;3;2;1;3;3;4;67,5;54
masculino;IN;no;19;1;3;1;2;5;5;5;3;5;3;45;66
masculino;HK;si;18;2;2;3;4;2;2;2;5;2;3;55;54
masculino;ZA;no;26;1;2;2;5;1;1;1;3;5;4;70;50
femenino;NL;no;26;1;2;4;1;2;2;2;1;2;2;65;38
masculino;GB;si;23;1;2;2;1;4;2;1;2;3;2;75;40
femenino;GB;si;19;1;3;1;2;1;2;1;2;4;3;60;40
femenino;SE;no;18;1;1;1;2;2;1;1;1;2;2;70;28
masculino;TT;si;25;3;3;5;5;3;5;5;1;5;3;67,5;76
femenino;GB;no;24;3;4;4;3;4;4;4;4;5;3;62,5;76
masculino;GB;no;18;1;2;2;2;5;2;1;1;1;3;70;40
masculino;GB;no;24;2;1;1;2;2;2;4;4;3;3;80;48
femenino;US;si;18;1;1;1;2;1;3;1;2;3;2;60;34
masculino;HK;no;22;3;1;2;3;4;4;4;2;4;3;62,5;60
femenino;US;si;26;1;1;3;3;2;3;4;1;2;2;70;44
masculino;IT;si;18;2;2;2;3;4;5;5;3;3;2;60;62
femenino;US;no;20;3;2;4;3;4;4;4;3;5;4;60;72
femenino;US;no;19;5;2;2;2;5;5;5;3;5;3;72,5;74
femenino;US;no;25;1;4;5;3;4;5;5;4;3;2;62,5;72
masculino;US;no;23;1;1;1;1;1;1;1;1;2;1;67,5;22
femenino;AU;si;22;1;1;3;3;1;1;1;5;4;5;67,5;50
femenino;US;si;24;3;3;5;4;2;5;5;5;5;5;57,5;84
masculino;GB;si;25;1;2;2;3;2;2;3;4;3;3;57,5;50
femenino;US;si;25;1;3;3;3;4;5;3;1;4;5;75;64
masculino;NO;si;21;2;2;2;2;2;2;2;2;2;2;65;40
femenino;BG;no;21;1;3;5;4;2;5;5;4;4;2;62,5;70
femenino;IN;si;24;1;1;1;2;3;1;1;3;4;4;62,5;42
femenino;HK;no;18;1;1;2;1;2;1;1;2;1;3;67,5;30
masculino;IT;no;19;1;1;2;2;2;2;1;1;1;4;72,5;34
masculino;US;no;21;1;3;3;4;2;1;1;4;1;2;55;44
femenino;ZA;si;22;4;2;2;2;2;2;2;2;2;4;85;48
masculino;US;si;23;1;1;1;1;1;1;1;1;1;2;62,5;22
femenino;PT;si;19;2;2;5;5;2;3;5;5;4;3;75;72
masculino;ZA;si;21;1;3;2;1;5;5;3;5;5;4;62,5;68
masculino;GB;no;24;3;1;1;3;4;3;1;3;3;2;72,5;48
masculino;RO;no;19;1;1;1;2;1;3;3;3;2;3;65;40
femenino;US;si;22;4;5;3;2;4;3;3;2;5;4;62,5;70
femenino;MT;no;25;1;2;2;2;3;3;4;3;3;3;62,5;52
femenino;US;si;26;1;1;1;2;1;1;1;1;3;5;70;34
femenino;US;no;24;1;1;1;1;3;1;3;3;1;5;72,5;40
femenino;US;no;23;3;1;2;1;1;2;3;3;5;5;70;52
femenino;US;no;23;1;3;2;1;5;3;1;1;1;3;57,5;42
masculino;US;si;24;3;2;4;4;5;4;1;1;1;4;72,5;58
femenino;US;no;22;3;1;1;2;2;5;3;2;4;3;70;52
femenino;GB;si;21;5;4;2;3;;4;5;3;5;3;65;68
masculino;IT;no;19;4;4;4;3;3;3;5;1;3;4;65;68
femenino;CZ;no;25;2;3;2;4;4;4;3;1;2;4;67,5;58
masculino;US;si;22;3;3;3;3;3;3;3;3;3;3;67,5;60
masculino;GB;si;23;5;1;2;2;5;2;2;3;4;1;60;54
femenino;QA;no;24;1;2;1;1;5;5;5;3;5;3;57,5;62
femenino;US;si;24;2;1;2;3;1;4;2;1;2;3;65;42
masculino;IN;si;25;1;1;3;3;4;5;4;1;5;4;70;62
masculino;US;no;22;1;2;2;2;5;5;4;3;3;4;62,5;62
masculino;GB;no;22;2;3;3;3;1;1;1;3;2;3;67,5;44
masculino;US;si;21;2;3;2;3;2;3;4;3;5;4;50;62
masculino;US;no;24;2;2;1;1;3;5;2;1;2;1;75;40
masculino;US;no;23;2;4;3;3;5;3;2;1;1;3;62,5;54
masculino;GB;si;20;3;1;1;1;1;1;1;1;1;1;62,5;24
masculino;GB;si;26;1;3;3;2;5;5;5;1;4;5;65;68
masculino;US;no;24;5;3;3;3;2;4;4;5;5;4;72,5;76
masculino;GB;si;22;3;2;2;2;2;4;3;3;2;3;57,5;52
femenino;US;no;22;1;3;3;3;2;5;5;3;5;1;62,5;62
masculino;FR;no;26;1;1;1;1;3;1;1;2;1;2;77,5;28
femenino;US;si;18;1;1;2;2;4;4;4;1;3;1;70;46
femenino;US;no;23;1;1;1;1;1;2;1;1;3;2;62,5;28
femenino;DE;si;26;1;1;4;1;5;4;2;3;4;3;70;56
femenino;FR;si;26;1;4;1;1;1;5;1;1;1;3;62,5;38
femenino;NZ;si;24;3;1;1;2;1;1;1;3;1;5;70;38
masculino;DE;si;21;1;1;1;2;1;2;3;5;3;4;70;46
masculino;JP;si;20;4;1;1;5;1;3;1;1;1;2;55;40
femenino;PT;si;24;1;2;2;2;1;1;2;3;2;4;75;40
femenino;GB;no;26;3;1;1;2;2;1;1;5;2;1;65;38
masculino;NG;si;26;3;2;4;5;2;5;4;1;4;3;87,5;66
femenino;US;si;23;1;2;3;3;5;4;3;1;3;3;67,5;56
masculino;US;no;21;1;4;3;4;5;3;3;4;3;1;57,5;62
femenino;ES;no;19;1;4;4;4;4;4;4;1;4;5;75;70
femenino;GB;si;18;1;2;2;2;2;1;1;1;2;2;60;32
masculino;US;si;23;1;1;2;3;3;1;1;1;3;3;75;38
masculino;US;si;22;1;1;1;2;3;4;1;1;3;3;67,5;40
femenino;US;no;26;3;3;2;1;5;1;1;3;3;2;57,5;48
masculino;US;si;22;1;2;2;2;2;2;2;2;3;3;65;42
masculino;IE;no;20;1;1;3;1;1;2;1;1;5;5;62,5;42
masculino;US;no;20;1;1;1;1;3;1;1;1;1;1;77,5;24
femenino;US;si;25;3;3;5;3;2;4;4;2;4;3;70;66
femenino;SV;si;25;2;3;4;5;5;5;4;5;5;3;60;82
femenino;CA;si;21;1;2;2;1;5;3;1;2;2;2;72,5;42
femenino;US;no;22;1;1;1;4;1;1;1;3;1;4;70;36
other;RO;no;21;1;1;1;4;3;3;1;3;4;1;62,5;44
femenino;US;si;21;3;1;1;5;3;5;5;2;3;3;70;62
femenino;US;si;25;1;1;3;1;5;5;5;5;3;1;62,5;60
femenino;FI;si;22;1;1;2;4;2;4;2;1;3;4;70;48
masculino;US;si;22;1;3;2;2;2;5;3;3;2;1;62,5;48
femenino;US;no;26;1;2;1;1;1;1;1;2;4;3;55;34
masculino;GB;si;26;3;2;2;2;2;4;4;2;2;2;70;50
masculino;US;si;26;4;2;2;3;2;4;4;4;3;2;62,5;60
femenino;US;si;20;1;2;1;3;1;2;1;2;4;2;72,5;38
masculino;IN;si;23;5;3;2;4;3;5;3;4;5;3;67,5;74
masculino;US;si;18;2;2;4;3;3;2;1;4;1;2;72,5;48
femenino;AU;no;21;3;3;4;3;3;2;4;5;3;3;72,5;66
masculino;GB;si;21;1;1;1;2;1;5;1;1;5;3;65;42
femenino;US;si;21;1;1;2;1;2;2;1;1;1;1;72,5;26
masculino;GR;no;18;1;1;1;1;3;5;3;3;1;3;70;44
masculino;GR;si;20;1;1;1;1;1;1;1;1;1;1;47,5;20
masculino;GR;no;23;1;1;2;4;2;2;3;1;3;2;72,5;42
masculino;RU;si;20;1;1;1;2;1;1;1;1;1;2;80;24
femenino;GB;si;23;1;1;2;3;1;3;1;1;3;4;67,5;40
femenino;US;no;18;2;3;2;4;3;3;1;1;2;2;70;46
masculino;US;no;21;4;3;3;3;5;5;5;5;5;3;62,5;82
masculino;US;no;18;1;1;3;1;1;1;1;1;5;5;67,5;40
masculino;US;si;20;4;1;3;3;5;1;1;3;1;1;75;46
masculino;US;si;18;3;1;1;3;3;3;3;1;2;3;62,5;46
masculino;US;no;18;1;1;1;1;1;1;1;1;2;1;75;22
masculino;US;si;18;1;1;1;1;1;1;1;3;1;4;70;30
masculino;US;si;21;2;5;4;1;2;4;5;4;5;4;62,5;72
masculino;GB;no;26;2;2;2;3;2;4;2;3;2;3;67,5;50
femenino;ES;si;24;3;2;1;1;2;2;2;1;1;1;70;32
femenino;SE;no;21;3;4;4;3;1;3;3;4;3;4;67,5;64
femenino;US;no;18;2;1;2;2;1;2;1;3;2;1;60;34
femenino;US;no;18;1;2;5;2;2;4;4;2;4;4;75;60
femenino;US;no;19;1;2;2;2;2;5;3;1;3;3;65;48
femenino;CA;no;24;3;2;2;3;2;5;2;3;2;2;75;52
femenino;CA;no;19;4;1;3;4;3;3;2;3;3;3;60;58
femenino;US;no;19;1;1;1;1;1;1;1;1;1;1;65;20
femenino;US;si;25;1;1;1;1;1;1;1;1;1;1;62,5;20
femenino;AU;no;21;3;3;1;3;3;3;5;1;5;4;62,5;62
masculino;IN;no;22;1;2;2;3;5;5;5;4;5;4;25;72
masculino;IE;si;20;1;1;1;1;1;1;1;1;3;3;57,5;28
masculino;GB;no;25;4;4;4;4;4;5;5;3;3;2;62,5;76
femenino;NO;si;19;2;5;5;3;3;4;2;2;3;4;60;66
masculino;US;si;21;1;1;2;3;4;5;4;2;3;4;62,5;58
femenino;PT;no;26;2;2;2;2;2;2;2;2;2;2;70;40
femenino;US;si;22;1;2;3;4;5;4;3;2;1;2;85;54
femenino;CA;no;25;2;1;3;2;1;4;3;2;4;4;65;52
masculino;TR;si;20;3;2;2;2;4;5;5;4;4;4;55;70
masculino;TR;si;24;2;2;2;2;5;5;4;3;2;4;65;62
masculino;SE;no;19;4;2;2;2;2;2;4;2;2;2;60;48
femenino;MN;si;18;3;2;2;2;3;5;3;3;3;2;65;56
masculino;PL;si;26;4;1;1;1;1;1;1;1;1;2;62,5;28
masculino;GB;si;19;3;1;1;2;1;1;1;2;1;2;55;30
femenino;GB;si;24;4;3;4;3;5;5;3;3;4;5;62,5;78
masculino;DE;si;19;1;3;3;2;5;2;1;1;4;1;72,5;46
masculino;US;si;23;2;1;2;3;1;5;3;2;3;3;65;50
femenino;US;si;22;1;3;1;1;1;2;1;3;5;4;75;44
