pareja,actividad,quien
1500,compras,conjuntamente
1501,arreglos,hombre
1503,ropa,conjuntamente
1505,conducir,alternativamente
1506,ropa,conjuntamente
1507,lunch,mujer
1508,ropa,mujer
1510,cena,mujer
1511,seguro,hombre
1512,lunch,mujer
1513,finanzas,conjuntamente
1514,conducir,alternativamente
1515,lunch,alternativamente
1516,conducir,alternativamente
1517,lunch,mujer
1518,compras,conjuntamente
1519,finanzas,conjuntamente
1520,seguro,conjuntamente
1521,finanzas,conjuntamente
1522,platos,conjuntamente
1523,lunch,mujer
1524,seguro,conjuntamente
1525,platos,conjuntamente
1526,ropa,conjuntamente
1527,seguro,conjuntamente
1528,lunch,mujer
1529,lunch,mujer
1530,ropa,conjuntamente
1531,ropa,conjuntamente
